|question|ps_0|ps_1|ps_2|right_answer_id
835|Какая команда выиграла Лигу чемпионов УЕФА в 2013 году?|«Пари Сен-Жермен»|«Реал Мадрид»|«Бавария Мюнхен»|2
836|В каком произведении Ф. М. Достоевского упоминается цитата «Красота спасет мир»?|«Бесы»|«Преступление и наказание»|«Идиот»|2
837|Какой город НЕ находится в Мали?|Бенгази|Томбукту|Куликоро|0
838|Какой из этих космических кораблей последним совершил посадку на Луне?|Аполлон-17|Аполлон-18|Аполлон-19|0
839|В каком году умерла Анна Ахматова?|1966|1971|1954|0
840|Какого лютоволка НЕ БЫЛО у семьи Старков в сериале «Игра Престолов?»|Лето|Зима|Призрак|1
841|В каком из этих фильмов НЕ играл Джонни Депп?|«Сонная Лощина»|«Бивень»|«Апокалипсис»|2
842|Кто является создателем социальной сети «Одноклассники»?|Павел Дуров|Альберт Попков|Стивен Хокинг|1
843|"Родимое пятно в форме какой страны было у Агаты — персонажа фильма «Отель ""Гранд Будапешт""»?"|Индия|Мексика|Япония|1
844|Кто первым доказал периодичность появления комет?|Кеплер|Галлей|Коперник|1
845|Согласно правилам ФИФА, какое минимальное количество игроков должно находиться на поле в одной команде?|3|7|6|1
846|Какому зверьку посвящена одна из песен Бетховена?|Барсук|Белка|Сурок|2
847|Кто был последним императором России?|Николай II|Петр I|Александр II|0
848|В каком городе в 1932 году был проведён первый международный кинофестиваль?|Венеция|Канны|Париж|0
849|Какая страна не состояла в союзе «Ось»?|Германия|Польша|Италия|1
850|Какое количество спутников Сатурна известно в настоящее время?|2|62|21|1
851|Кто из боксеров в своей профессиональной карьере выиграл 50 боев из 50?|Майкл Джерард|Мохаммед Али|Флойд Мейвезер|2
852|У кого из этих супергероев нет суперсилы?|Бэтман|Флэш|Супермэн|0
853|Каким по счету президентом США является Дональд Трамп?|46|47|45|2
854|Какой вид удара в футболе считается наиболее сильным?|Пяткой|С подъёма|Внешней стороной стопы|1
855|Сколько томов произведения Н. В. Гоголя «Мёртвые души» было издано?|3|1|2|1
856|Какой глубины достигает Атлантический океан?|9 675 м|8 742 м|10 842 м|1
857|На флаге какой страны НЕТ белого цвета?|Алжир|Сомали|Чад|2
858|В какой киберспортивной дисциплине был разыгран самый большой призовой фонд?|DotA 2|FIFA|CS:GO|0
859|Что из перечисленного является струнно-щипковым музыкальным инструментом?|Гобой|Фагот|Банджо|2
860|Однажды Владимир Высоцкий пообещал написать о спорте ровно столько песен. Цифра была выбрана неслучайно — столько же клеток было и в таблице «Спортлото».|49|33|1024|0
861|В какой день недели, согласно писанию, распяли Христа?|В пятницу|В четверг|В субботу|0
862|Какой орган человеческого тела самый большой по площади?|Печень|Сосуды|Кожа|2
863|У каких организмов чаще всего встречается полиплоидия?|Растения|Млекопитающие|Насекомые|0
864|Кто такой «вомбат»?|Сумчатое млекопитающее|Кровососущая летучая мышь|Войсковой командир батальона|0
865|Кто открыл закон радиоактивного распада?|Эрнест Резерфорд|Майкл Фарадей|Альберт Эйнштейн|0
866|Гольфстрим — что это?|Морское течение|Ветер|Гора|0
867|В каком году была создана американская кинопремия «Оскар»?|1932|1930|1929|2
868|В каком городе находится Люксембургский дворец?|Люксембург|Брюссель|Париж|2
869|В озвучивании какого мультфильма принимала участие Полина Гагарина?|«Зверополис»|«Монстры на каникулах»|«Книга Джунглей»|1
870|Как звали персонажа Ди Каприо в фильме «Титаник»?|Томас Эндрюс|Джек Доусон|Фабрицио|1
871|Как звали брата Шерлока Холмса?|Мартин|Майкрофт|Стивен|1
872|Как называется столица американского штата Калифорния?|Сакраменто|Сан-Франциско|Лос-Анджелес|0
873|Как наши предки называли сентябрь?|Вересень|Страдник|Серпень|0
874|Каким по счёту султаном Османской империи был султан Сулейман I?|Шестым|Первым|Десятым|2
875|Как называется наука о внутренних органах?|Спланхнология|Цитология|Гистология|0
876|В каком году была официально выпущена игра «Minecraft»?|2001|2011|2016|1
877|Когда был основан город Рига?|1292|1343|1201|2
878|Какое из этих деревьев тонет в воде?|Дуб|Лиственница|Ель|1
879|Кто автор эпистолярного романа «Хорошо быть тихоней»?|Стивен Чбоски|Ричард Гир|Холден Колфилд|0
880|Сколько всего букв в армянском алфавите?|29|38|36|1
881|Каков максимальный вес мяча для гольфа?|57,12 г|45,93 г|51,82 г|1
882|Как называется коллектив людей, исполняющих одно произведение на различных инструментах?|Коллегиум музикум|Оркестр|Хор|1
883|Что такое изомальт?|Строительный материал|Сахарозаменитель|Стекло|1
884|Какая была настоящая фамилия у шансонье Михаила Круга?|Воробьёв|Дроздов|Сорокин|0
885|Между какими океанами расположена Южная Америка ?|Атлантический и Индийский|Тихий и Индийский|Тихий и Атлантический|2
886|Что изготавливал в старину скудельник?|Горшки|Ювелирные украшения|Одежду|0
887|Таким по счёту прокуратором Иудеи был Понтий Пилат.|5|6|7|0
888|В честь какого правителя названа технология беспроводной передачи данных?|Харальд Синезубый|Иван Грозный|Мария Тюдор|0
889|Кто являлся правителем Русского царства в период Ливонской войны?|Петр I|Борис Годунов|Иван IV|2
890|В какой стране появился Интернет?|Германия|США|Россия|1
891|Как звали первую собаку-космонавта?|Вольт|Лайка|Белка и Стрелка|1
892|Как называется столица Мадагаскара?|Антананариву|Фианаранцуана|Махахидзанга|0
893|Как звали вторую королеву Нидерландов?|Беатрикс|Вильгельмина|Юлиана|2
894|Какая передача изначально была придумана и реализована в России?|«Поле чудес»|«Кто хочет стать миллионером?»|«Что? Где? Когда?»|2
895|Как называется специальный металлический или пластиковый наконечник шнурка?|Клипса|Узелок|Эглет|2
896|Как называется самая чёрная планета, известная человеку?|TrEs-2 b|IC 1101|GJ 1214 b|0
897|В каком году родился Людвиг ван Бетховен?|1799|1751|1770|2
898|За какую часть тела барон Мюнхгаузен вытаскивал себя из болота?|Рука|Волосы|Нос|1
899|Какое второе имя у Диего Марадоны?|Армандо|Хосе|Луис-Филиппе|0
900|Что входит в Семь чудес света?|Статуя Зевса Олимпийского|Пизанская башня|Колизей|0
901|Кто из этих футболистов играл на позиции защитника?|Мишель Платини|Франц Беккенбауэр|Гарринча|1
902|Кто был злодеем в фильме «Kingsman: Секретная служба»?|Валентайн|Ланселот|Галахэд|0
903|Какой город является вторым по численности населения городом Франции после Парижа?|Марсель|Тулуза|Ницца|0
904|Как звали лучшего друга главного героя из фильма «Приключения Электроника»?|Сергей|Андрей|Григорий|0
905|Какая команда стала обладателем Кубка Испании по футболу 2018?|«Ювентус»|«Барселона»|«ПСЖ»|1
906|Между какими государствами была Столетняя война?|США и Россия|Германия и Россия|Англия и Франция|2
907|На какой улице жил литературный персонаж Шерлок Холмс?|Бейкер-стрит|Саймон-стрит|Уолл-стрит|0
908|Какая самая глубокая станция метрополитена в Санкт-Петербурге?|Технологический институт|Беговая|Адмиралтейская|2
909|Какое из нижеприведенных слов написано верно?|Каппучино|Координально|Фальстарт|2
910|В каком году Плутон переквалифицировали в карликовую планету?|2011|2005|2006|2
911|Какой минерал называют «золото дураков»?|Халькопирит|Сфалерит|Пирит|2
912|Когда и в какой стране прошла первая акция, посвященная Дню Земли?|В 1970 году в США|В 1974 году в России|В 1974 году во Франции|0
913|Сколько времени даётся команде на атаку в баскетболе?|22 секунды|24 секунды|10 секунд|1
914|Кто открыл принцип неопределённости в квантовой механике?|Вернер Карл Гейзенберг|Вольфганг Эрнст Паули|Эрвин Шрёдингер|0
915|В каком году Леонардо Ди Каприо получил свой первый «Оскар»?|2001|2006|2016|2
916|Какой рост был у Петра I?|196 см|203 см|206 см|1
917|Сколько башен имеет Московский Кремль?|11|7|20|2
918|В какие годы в России правил Лжедмитрий I?|1604-1610|1605-1606|1676-1682|1
919|Какая средняя продолжительность жизни манула?|11-12 лет|6-7 лет|8-9 лет|0
920|Кто является первым создателем первого программируемого компьютера в мире?|Цюзе|Тьюринг|Бэббидж|0
921|Как называлась первая печатная книга на Руси?|«Острожская Библия»|«Псалтирь»|«Апостол»|2
922|В этом году биатлон стал олимпийским видом.|1960|1812|1928|0
923|Что такое «абулия»?|Неспособность к обучению|Неспособность действовать и принимать решения|Неспособность глотать|1
924|В каком году была основана компания Marvel Comics?|1954|1967|1939|2
925|Какой писатель был убит на дуэли в городе Пятигорск?|Маяковский|Пушкин|Лермонтов|2
926|В какой области России находится город Миньяр?|Ульяновская|Челябинская|Мурманская|1
927|В каком году Николай ll отрёкся от престола?|1916|1918|1917|2
928|Как в Древней Греции назывался сосуд для смешивания воды с вином?|Флаттер|Фарватер|Кратер|2
929|Кто является одним из наименьших представителей отряда приматов?|Мармозетка|Сирихта|Карликовая игрунка|2
930|Под каким номером начинал выступать Лионель Месси?|30|10|19|0
931|Под каким названием Энтони Хопкинс экранизировал пьесу Чехова «Дядя Ваня»?|Иоанн|Ваня с 42-й улицы|Август|2
932|Когда была открыта первая железная дорога в России?|1837|1859|1851|0
933|Как в оригинале называется игра, названная по-русски «Как достать соседа»?|«Соседи из ада»|«Сосед, пакуй чемоданы»|«Привет, сосед!»|0
934|Как до декабря 1937 года в Красной армии военнослужащие отвечали на благодарность от начальства?|«Рад стараться»|«Служу Советскому Союзу»|«Служу трудовому народу»|2
935|Кто в 1991 году создал современное боевое единоборство в США  под названием «Укидо-кан»?|Бенни Уркидес|Брюс Ли|Хига Сэйтоку|0
936|На какой глубине лежит «Титаник»?|3750 м|2490 м|1140 м|0
937|В какой стране находится северная вершина горы Эверест?|Бутан|Непал|Китай|2
938|В каком году команда СССР стала чемпионом Европы по футболу?|1972|Никогда|1960|2
939|Какая наука изучает звёзды и планеты?|Системотехника|Астрономия|География|1
940|Какой город является столицей Крыма?|Симферополь|Севастополь|Ялта|0
941|В каком году был проведён первый чемпионат мира по снукеру?|1986|1956|1926|2
942|Как зовут дочку Джона и Мэри Ватсон из сериала «Шерлок»?|Рози|Молли|Джейси|0
943|Как называется временное замедление или прекращение жизненных процессов в организме?|Фуналиоз|Спячка|Анабиоз|2
944|Какая из перечисленных согласных НЕ является сонорной?|М|Ц|Р|1
945|Какова дистанция индивидуальной гонки в биатлоне у мужчин?|10 км|20 км|15 км|1
946|В каком году Тувинская Народная Республика вошла в состав СССР?|1944|1922|1945|0
947|Как звали медведя в мультфильме «Маугли»?|Балу|Шерхан|Луи|0
948|Что такое «папайя»?|Овощ|Отец на зимбабвийском|Фрукт|2
949|Куда мечтал попасть Остап Бендер?|Нью-Йорк|Париж|Рио-де-Жанейро|2
950|В Железноводске есть памятник клизме. Кто её держит?|Ангелы|Изобретатель|Медсестра|0
951|Кого свергла Екатерина II?|Петра I|Петра II|Петра III|2
952|Какое государство занимает самую маленькую площадь?|Монако|Науру|Ватикан|2
953|Сколько раз Голландия становилась чемпионом мира по футболу?|0|3|2|0
954|Как по-другому называется лицевая часть монеты?|Аверс|Гурт|Реверс|0
955|Сколько огневых рубежей в гонке преследования в биатлоне?|4|3|2|0
956|Какая команда чаще всех становилась чемпионом НБА?|«Голден Стэйт Уорриорз»|«Чикаго Буллс»|«Бостон Селтикс»|2
957|В каком году первое место в конкурсе «Евровидение» занял Дима Билан?|2007|2008|2006|1
958|Что такое «сычуг»?|Часть желудка жвачных|Хищная птица|Часть желудка зайцеобразных|0
959|Кто является создателем социальной сети Facebook?|Марк Дуров|Марк Цукерберг|Павел Дуров|1
960|В каких единицах измеряется давление?|Паскаль|Децибел|Пульс|0
961|Что такое «катеначчо»?|Юридический термин|Итальянское блюдо|Тактическая схема в футболе|2
962|В каком году Бэтмен впервые появился в комиксах?|1951|1939|1940|1
963|Как зовут создателя паровой машины?|Рудольф Дизель|Паоло Мальдини|Томас Севери|2
964|Сколько сосков на вымени у коровы?|Пять|Четыре|Восемь|1
965|Кто является главным героем игры «BioShock Infinite»?|Элизабет|Букер Девитт|Захари Комсток|1
966|В каком году состоялся первый полет на воздушном шаре?|1819|1797|1783|2
967|Как звали старшего сына Вито Корлеоне?|Сантино|Майкл|Фред|0
968|Кто водрузил Знамя Победы над Рейхстагом?|Егоров и Кантария|Попов и Николаев|Ленин и Сталин|0
969|Сколько желудочков в головном мозге человека?|4|5|2|0
970|Сколько музыкантов в квинтете?|5|9|8|0
971|В каком жанре писал Клиффорд Саймак?|Научная фантастика и фэнтези|Детектив|Исторический роман|0
972|Буква Ю именно такая по счёту в украинском алфавите.|32|24|20|0
973|Какая  столица у Намибии?|Катманду|Лесото|Виндхук|2
974|Кому принадлежит фраза «Государство — это я»?|Людовик Четырнадцатый|Наполеон Первый|Елизавета Первая|0
975|Как звали учителя Брюса Ли?|Ип Кхан|Ип Ман|Ип Ван|1
976|Сколько стран граничит с Германией?|9|11|7|0
977|Сколько премий «Оскар» у Тома Хэнкса?|3|2|4|1
978|Кто написал роман «Искра жизни»?|Рэй Брэдбери|Эльчин Сафарли|Эрих Мария Ремарк|2
979|Как называется фобия, при которой человек боится темноты?|Никтофобия|Мусофобия|Трипофобия|0
980|Кто такой Полковник Сандерс?|Создатель Burger King|Создатель KFC|Создатель McDonald's|1
981|В каком году был спущен на воду ныне учебный парусник «Седов»?|1943|1938|1921|2
982|Как в музыке называется смещение ритмической опоры с сильной доли такта на слабую?|Модуляция|Фистула|Синкопа|2
983|Кого НЕТ на гербе Москвы?|Двуглавый орёл|Георгий Победоносец|Змий|0
984|Какая женщина дважды была лауреатом Нобелевской премии?|Мария Склодовская-Кюри|Мария Гёпперт-Майер|Ирен Жолио-Кюри|0
985|Как называется традиционная японская национальная одежда?|Хиджаб|Кимоно|Якиманка|1
986|Сколько органов чувств у человека?|7|4|6|2
987|С каким счётом завершился матч сборных Бразилии и Германии в полуфинале Чемпионата мира по футболу 2014 года?|7:1 в пользу Германии|4:3 в пользу Бразилии|7:1 в пользу Бразилии|0
988|Во сколько 22 июня 1941 года началась Великая Отечественная война?|В 3 часа дня|В 8 часов вечера|В 4 часа утра|2
989|Какая из перечисленных птиц может ходить под водой?|Кряква|Оляпка|Пискулька|1
990|В каком году умер Александр Второй?|1889|1881|1879|1
991|Какой город является столицей Королевства Марокко?|Антананариву|Хараре|Рабат|2
992|Почему на Венере температура выше, чем на Меркурии?|Отсутствует атмосфера|Присутствует атмосфера|Венера вращается быстрее|1
993|Какая гора является высочайшей вершиной земного шара?|Килиманджаро|Эверест|Мауна-Кеа|1
994|Какой из океанов самый большой?|Тихий|Индийский|Атлантический|0
995|Какой европейский город раньше носил название Лютеция?|Лондон|Париж|Милан|1
996|Столицей какой страны является город Хараре?|Замбия|Ботсвана|Зимбабве|2
997|В каком году родился Том Круз?|1967|1973|1962|2
998|Кто, согласно древнегреческим мифам, клевал печень Прометея?|Ворон|Ястреб|Орёл|2
999|В айкидо оранжевый пояс имеют право носить бойцы именно этого кю.|4|9|6|0
1000|Кого раньше называли престидижитатором?|Извозчик|Фокусник|Дирижёр|1
1001|Каким было первое название группы «Руки Вверх»?|Двое друзей|Дядюшка Рей|Серж и Алекс|1
1002|У кого из «черепашек-ниндзя» фиолетовая повязка?|Донателло|Леонардо|Рафаэль|0
1003|Какая планета Солнечной системы имеет 27 спутников?|Сатурн|Юпитер|Уран|2
1004|Какая из этих звёзд ближе к Солнцу?|Проксима Центавра|Альфа Центавра В|Альфа Центавра А|0
1005|Сколько раз старик из сказки А. С. Пушкина вызывал Золотую рыбку?|3|4|5|2
1006|"Внимание, арифметика! Если взять три ""портрета"" Бенджамина Франклина, добавить к ним два ""портрета"" Улисса Гранта, а потом ещё четыре ""портрета"" Джорджа Вашингтона, то получится именно столько долларов. На дороге не найти!"|404|101|91|0
1007|Каким по счету президентом США был Авраам Линкольн?|Шестнадцатым|Первым|Девятым|0
1008|Когда произошла Невская битва?|1250|1242|1240|2
1009|В каком году произошла отмена крепостного права в России?|1861|1917|1891|0
1010|Как называется горная система с самой высокой точкой над уровнем моря?|Восточный Памир|Гималаи|Альпы|1
1011|Кто вошёл в историю как «отец медицины»?|Авиценна|Гиппократ|Аристотель|1
1012|Как называется аппарат для измерения артериального давления?|Тонометр|Термометр|Тахометр|0
1013|Каким именем Гарри Поттер НЕ назвал своих детей?|Римус|Джеймс|Сириус|0
1014|В какой стране находится здание Европейского Союза?|Великобритания|Бельгия|Германия|1
1015|Кто такой Никола Тесла?|Археолог|Химик|Изобретатель и физик|2
1016|Как называется представительница коренного населения Америки?|Индейка|Индийка|Индианка|2
1017|Какой термин не относится к музыкальной грамоте?|Бекар|Декарт|Диез|1
1018|Когда была запущена социальная сеть «ВКонтакте»?|10 октября 2006 г.|4 мая 2005 г.|4 сентября 1998 г.|0
1019|Какого города НЕТ в Швейцарии?|Арбуга|Ароза|Арау|0
1020|На территории какого города находится Гутуевский остров?|Ярославль|Санкт-Петербург|Нижний Новгород|1
1021|В каком году появилась компания Apple?|1984|2007|1976|2
1022|Какого представителя животного мира широко используют в медицинских целях?|Пиявка|Тритон|Лягушка|0
1023|Какую страну называют Туманным Альбионом?|Китай|Великобритания|Греция|1
1024|Каким было настоящее имя самозванца Лжедмитрия Первого?|Григорий|Малюта|Карл|0
1025|Какая из этих кислот растворяет стекло?|Серная|Плавиковая|Хлорная|1
1026|Что такое стрингер?|Деталь конструкции корпуса|Ракетный комплекс|Матрос, исполняющий танец в специальном нижнем белье|0
1027|Какая из этих планет самая большая?|Юпитер|Сатурн|Земля|0
1028|Какой ритуал предполагало побратимство по русским обычаям?|Взаимное испитие крови друг друга|Адельфопоэзис|Крестованье|2
1029|Кто был первым правителем в династии Романовых?|Михаил Фёдорович Романов|Алексей Михайлович Романов|Пётр Алексеевич Романов|0
1030|Какая страна стала победителем конкурса «Евровидение 2011»?|Швеция|Азербайджан|Норвегия|1
1031|Кто из этих червей не имеет полости тела?|Круглые черви|Кольчатые черви|Плоские черви|2
1032|Чему равен 1 киловатт?|1000 ватт|1000000 ватт|0,001 ватт|0
1033|В каком преступлении блюстители порядка НЕ обвиняли Буратино?|Он беспризорный|Он бессовестный|Он безработный|1
1034|Что означает название книги Рэя Брэдбери «451 градус по Фаренгейту»?|Температура воспламенения бумаги|Температура плавления железа|Температура окисления золота|0
1035|Какое море самое маленькое?|Адриатическое|Азовское|Мраморное|2
1036|Каким термином геймеры называют число игровых действий, совершаемых за минуту?|APM|IMBA|BPM|0
1037|В каком городе проходили летние Олимпийские игры 1932 года?|Мельбурн|Стокгольм|Лос-Анджелес|2
1038|Какое сердце у лягушки?|Четырёхкамерное|Двухкамерное|Трёхкамерное|2
1039|Как называется наука, изучающая млекопитающих?|Микология|Териология|Палеонтология|1
1040|Именно столько таблиц было в первой кодификации римского права.|12|14|42|0
1041|Сколько корней в квадратном уравнении, если его дискриминант равен нулю?|1|2|0|0
1042|Какой частью тела бабочки определяют вкус?|Ножками|Крыльями|Хоботком|0
1043|С какой из этих стран НЕ граничит Чехия?|Венгрия|Польша|Германия|0
1044|Какая страна в древности носила название Авзония?|Испания|Италия|Австрия|1
1045|Сколько лет правила Екатерина Вторая?|43|34|28|1
1046|Где пройдет Чемпионат мира по футболу в 2022 году?|Испания|США|Катар|2
1047|Какой остров является самым большим?|Сахалин|Гренландия|Мадагаскар|1
1048|В какой стране в 2018 году проходил Чемпионат мира по футболу?|Испания|Россия|Германия|1
1049|Что из этого является языком программирования?|Python|HTML|CSS|0
1050|По какому озеру проходила «Дорога жизни» во время Великой Отечественной войны?|Онежское|Ильмень|Ладожское|2
1051|В каком году был открыт первый кинотеатр?|1915|1895|1908|1
1052|Какое оригинальное название фильма «1+1»?|An aristocrat and a criminal|Intouchables|Two is better than one|1
1053|На скольких островах расположено государство Япония?|5|4|6852|2
1054|"По легенде именно такое количество выстрелов в минуту указывалось в рекламе уже упоминавшегося пулемета ""Максим"""|666|44|1024|0
1055|В каком городе пройдут Олимпийские игры 2022 года?|Сочи|Лиссабон|Пекин|2
1056|Каким символом в химии обозначается медь?|Mg|Cr|Cu|2
1057|В каком году впервые была представлена компьютерная мышь?|1974|1961|1968|2
1058|Сколько гидроэлектростанций на реке Енисей?|2|3|4|1
1059|Как называется вид вымерших акул?|Мегазавр|Мегалодон|Акулиус|1
1060|Интернет-аббревиатура LOL иногда для быстроты пишется в виде этого числа.|101|25|1024|0
1061|К какой мифологии относятся боги Тор, Локи и Один?|Римская мифология|Греческая мифология|Скандинавская мифология|2
1062|От какого греческого слова произошло имя Афродита?|Свет|Пена|Весна|1
1063|Кто сменил Ф. Э. Дзержинского после его смерти на посту главы органов госбезопасности?|Г. Г. Ягода|В. Р. Менжинский|Н. И. Ежов|1
1064|Героиней какого романа является Мэгги Клири?|«Гордость и предубеждение»|«Унесённые ветром»|«Поющие в терновнике»|2
1065|В каком штате чаще всего происходит действие произведений Стивена Кинга?|Мэн|Нью-Гемпшир|Арканзас|0
1066|Как по-другому на Украине называют апельсин?|Помаранч|Оранжад|Оранж|0
1067|Как называется наука, изучающая мхи?|Мохология|Зитология|Бриология|2
1068|Сколько человек побывало на Луне?|Семь|Двенадцать|Два|1
1069|Какой химический элемент на латыни называется «hydrargyrum»?|Аргон|Водород|Ртуть|2
1070|Какая планета солнечной системы названа по греческой, а НЕ по римской мифологии?|Юпитер|Меркурий|Уран|2
1071|В какой стране появился первый в Южном полушарии метрополитен?|Аргентина|Австралия|Бразилия|0
1072|Какая планета Солнечной системы имеет самый большой период обращения вокруг Солнца?|Нептун|Сатурн|Уран|0
1073|Кто из перечисленных деятелей белого движения дожил до конца Гражданской войны в России?|А. И. Деникин|Л. Г. Корнилов|А. В. Колчак|0
1074|В каком году родился Владимир Владимирович Путин?|1958|1946|1952|2
1075|Какой из этих островов меньше остальных?|Гренландия|Таити|Мадагаскар|1
1076|Какой город князь Олег сделал столицей Древнерусского государства?|Киев|Новгород|Владимир|0
1077|"Согласно недавно проведенным исследованиям, ЭТО ЧИСЛО в Великобритании стало сленговым синонимом слова ""невежественный"" и означает человека, который не может ответить на задаваемый вопрос."|404|32|42|0
1078|В каком городе СССР появился первый ЗАГС?|Ленинград|Москва|Киев|0
1079|Кто является автором книги «Теряя невинность»?|Том Батлер-Боудон|Ричард Брэнсон|Том Боуэр|1
1080|Помадой какого цвета гримировали губы ведущих, когда телевидение было чёрно-белым?|Синего|Красного|Зелёного|2
1081|Как называется прибор для определения глубины водоёма?|Эхолот|Линейка|Термометр|0
1082|Как называется литературный прием, когда две или более строк в стихотворении заканчиваются одними и теми же словами?|Метафора|Анафора|Эпифора|2
1083|Что является основой для абхазской мамалыги?|Овощи|Кукурузная мука|Макароны|1
1084|Какой из нейронов расположен первым в рефлекторной дуге?|Двигательный|Вставочный|Чувствительный|2
1085|Кто из учёных является одним из изобрателей лампы накаливания?|А. С. Попов|А. Вольта|А. Н. Лодыгин|2
1086|В каком году Россия признала независимость Абхазии и Южной Осетии?|1993|2008|2010|1
1087|Какое созвездие есть в группе Персея?|Треугольник|Круг|Квадрат|0
1088|В каком городе установлен первый памятник Ивану Грозному?|Смоленск|Орёл|Казань|1
1089|Как звали лесничего Хагрида в серии книг о Гарри Поттере?|Маттиас|Крациус|Рубеус|2
1090|Как называется приём игры на гитаре, при котором происходит быстрое многократное повторение одного звука?|Тремоло|Глиссандо|Флажолет|0
1091|На создание эмблемы какого автомобиля дизайнера вдохновил отпечаток от банки сардин?|Subaru|Land Rover|Ford|1
1092|Как зовут американского актёра австрийского происхождения, который был губернатором Калифорнии?|Арнольд Шварценеггер|Дольф Лундгрен|Сильвестр Сталлоне|0
1093|Столицей какой страны является Куала-Лумпур?|Малайзия|Боливия|Куала-Лумпур|0
1094|Какой митрополит совершал коронование царя Николая II?|Палладий|Никон|Ермоген|0
1095|Кто главный злодей в фильме «Мстители: Война бесконечности»?|Капитан Америка|Тор|Танос|2
1096|Какова протяженность экватора Земли?|40 075 км|45 075 км|42 075 км|0
1097|Кто играет Машу в комедийном сериале «Воронины»?|Мария Ильюхина|Екатерина Волкова|Анна Фроловцева|0
1098|Сколько детей было у Чарли Чаплина?|10|3|12|2
1099|Сколько раз пловец Майкл Фелпс становился олимпийским чемпионом?|21|23|17|1
1100|Как назывался флагман Верховного лидера Сноука в фильме «Звёздные войны: последний джедай»?|Опустошитель|Тысячелетний сокол|Господство|2
1101|Какое прозвище было у Феликса Эдмундовича Дзержинского?|Бронзовый Феликс|Железный Феликс|Стальной Феликс|1
1102|Какая птица существует?|Отвертка|Молоток|Топорок|2
1103|Как заканчивается строка стихотворения Александра Блока: «Ночь, улица, фонарь...»?|Аптека|Сирена|И ветер|0
1104|Какое звание во флоте РФ идёт после старшего мичмана?|Контр-адмирал|Младший лейтенант|Главный корабельный старшина|1
1105|Во что превратился главный герой романа Ф. Кафки «Превращение»?|В насекомое|В своего друга|В зверя|0
1106|Сколько сезонов в сериале «Санта-Барбара»?|12|9|7|1
1107|Как назывался первый русский свод законов?|Судебник|Русская правда|Русский устав|1
1108|Какой пигмент растений обеспечивает фотосинтез?|Ксантофилл|Хлорофилл|Каротин|1
1109|Как звали персонажа с четырьмя руками в серии игр «Mortal Kombat»?|Люкен|Рейден|Горо|2
1110|Кто из этих персонажей не входит в состав «стражей Галактики» из одноименного фильма?|Реактивный енот|Гамора|Локи|2
1111|Какой федеральный округ России самый крупный по численности населения?|Дальневосточный |Центральный |Приволжский|1
1112|В каком году Польша и Литва подписали союзную Люблинскую унию и стали единым государством Речью Посполитой?|1497|1667|1569|2
1113|Какой из этих мотоциклов производился НЕ в СССР?|Минск|Ява|Восход|1
1114|Как в химии обозначается свинец?|Al|Pb|Cu|1
1115|Кто их этих футболистов играет в «Барселоне»?|Неймар|Роналду|Месси|2
1116|До какого века просуществовала Византия?|До конца III века|До середины VII века|До начала XV века|2
1117|Как звали главного героя романа Нила Геймана «Американские боги»?|Лунная Тень|Солнечный Блик|Мистер Среда|0
1118|Какой город советские войска освобождали от нацистов уже после подписания Германией капитуляции?|Прага|Варшава|Цюрих|0
1119|На каком курсе школы Хогвартс учился Гарри Поттер, когда раскрыл секрет Тайной комнаты?|На третьем|На втором|На первом|1
1120|Как называется роспись по телу хной?|Сари|Бинди|Менди|2
1121|Какой акулы НЕ существует в природе?|Крысиная|Собачья|Кошачья|0
1122|Каким орудием совершил убийство Родион Раскольников?|Нож|Меч|Топор|2
