|question|ps_0|ps_1|ps_2|right_answer_id
247|Как долго может жить зебры в неволе?|30 лет|20 лет|40 лет|2.0
248|Этот тип муравей считается самым ядовым из всех насекомых.|Западный коричневый муравей|бульдог муравей|джек джемпер муравей|2.0
249|О том, как долго у муравьев были вокруг на земле?|8 миллионов лет|45 миллионов лет|60 миллионов лет|2.0
250|Самая большая колония муравьев расположена на побережье Ишикари Хоккайдо. Примерно сколько муравьи в этой колонии?|300 000 000|30 000 000|700 000 000|0,0
251|Каковы три основные части тела муравьев?|Антенны, живот, торасы|голова, мезосома, метасома|голова, живот, метасома|1.0
252|Все эти вещества, но один безопасный способ избавиться от муравьев в доме. Какая странная?|Cider уксус|Windex, смешанный с мылом из слоновой кости|Вино|2.0
253|В 1966 году был найден первая ископаемость муравья. От которого он пришел геологический период?|Меловое|Пенсильванян|Пред-ферма|0.0
254|Какое утверждение о муравьев не соответствует действительности?|Ангуаторы предпочитают муравьи к любому другому типу пищи.|Муравьиная колония съест свои личинки, если нет другой еды вокруг.|Пули муравьев считается самым болезненным жгутом.|0,0
256|Какой из этих видов фламинго не родом в Америке?|Чилийский фламинго|Andean Flamingo|Малый фламинго|2.0
257|В каком десятилетии появился значок поп-культуры пластиковый газон фламинго?|40s|60s|30s|1.0
258|Когда был последний сообщил убийство тилацина в Австралии?|1930|1880|1900|0.0
259|Как было название зоопарка, в которой последний известный тилацин был помещен в 1936 году?|Хобарт зоопарк|Queensland Zoo|Zoory Elizabeth Zoological Gardens|0.0
260|В каком году тилацины классифицированы как вымершие?|1986|1979|1974|0.0
261|В 1984 году какой знаменитый могол предложил награду за 100 000 долларов за доказательство продолжения существования тилацина?|Дональд Трамп|Руперт Мердок|Тед Тернер|2.0
262|Что такое панголин?|Чешуйчатый муравьиный млекопитающий|ядовитая змея|Тип рыбы|0.0
263|Что означает малазийское слово Pangolin?|Доспехи|рулон в мяч|ходьба pinecone|1.0
264|Какая из этих утверждений относительно того, как Панголины защищают себя ложно?|Они убегают очень быстро. Они распыляют вредный запах, как скунс.|Они свернулись в мяч.|0.0|
265|Сколько молодых Pangolins может иметь взрослый панголин в одно время?|1-2|3-4|4-5|0.0
266|Хотя не все медведь подвида порождают, существует тенденция к увеличению атак медведя в связи с этим фактором.|Уничтожение медведей естественная среда обитания|загрязнение|генетическая мутация медведей|0,0
267|Несмотря на плохую репутацию акул, благодаря фильмам из 300 видов акул только так, как известно, атаковали и убили человека.|4|10|2|0.0
268|Хотя медузы могут показаться вам спокойным и безвредным, встреча с некоторыми видами может оставить вас в мучительном боли и даже убивать вас в минутах. Какой из следующих видов медузы достаточно ядовит, чтобы убить человека?|Морская крапива|Mastigias|Box Jellyfish|2.0
269|Мы видели этих животных как дружелюбные и доступные, но истина в том, что они непредсказуемы. Каково среднее количество смертельных случаев в год.|150-200|20-40|300-500|2.0
270|Бегемоты могут показаться медленными, ленивыми и громоздкими, но на самом деле являются одним из самых опасных африканских животных. Что из следующего следует избегать, чтобы предотвратить атаку бегемота?|Стоять между бегемотом и его теленками|все эти|удивительные бегемоты|1.0
271|Если вы возникаете рядом с большой кошкой (например, Льву, тигром, рысью), который, кажется, собирается атаковать вас, что из следующего не должно делать в любом случае?|Кричать и кричать|попробуйте выглядеть больше, чем вы на самом деле|Поверните назад и бегите|2.0
272|Удивительно, что убийца номер один среди животных, причем около 2-3 миллионов человеческих заболеваний в год - это крошечное насекомое. Что это?|Bee|комара|Tetse Fly|1.0
273|Сколько видов носорогов выживает в дикой природе?|2|5|4|1.0
274|Какой из них не вида носорога?|Африканский носорог|индийский носорог|Javan Rhino|0.0
275|На протяжении всего периода с 1970-х годов до конца 20-го века числа носорогов сократились примерно на какой процент?|50%|90%|60%|1.0
276|Что такое спасатель жизни носорога?|15 лет|40 лет|20 лет|1.0
277|Какой период беременности носорога?|12 месяцев|16 месяцев|20 месяцев|1.0
278|В каком из этих африканских сред не найдено Гиенас?|Пустыня|леса|горы|0.0
279|Что из этого не вида гиены?|Коричневый|полосатый|золотой|2.0
280|В какой стране был домой для моа?|Новая Зеландия|Пуэрто-Рико|Индонезия|0.0
281|Какова была главная причина исчезновения моа?|Он был охотился на еде.|Не хватало места на острове так много крупных птиц|это легко было легко поймать хищниками.|0,0
282|Какое животное был хищником номера моа?|У них не было хищника, они были слишком большими|вымершие виды орела|вымершие виды льва|1.0
283|В каком году были первыми моа остаются открытыми европейцами?|1765|1857|1839|2.0
284|Какая из этих европейских стран не является домом для любого дикого северного оленя?|Финляндия|Швейцария|Россия|1.0
285|Примерно сколько миль в год может путешествовать североамериканское карибу?|11 000|1000|3000|2.0
286|Примерно сколько оленей живут в Евразии?|10 миллионов|5 миллионов|15 миллионов|1.0
287|Что из этого не является видом оленей?|Woodland Caribou|Северная Карибу|Арктический олень|1.0
288|Сколько видов голубей и голубей существует?|200|375|300|2.0
289|Почему голубиные гнезда или яйца редко видели?Голуби - это жители скалы и строят свои гнезда в высоких местах. Голуби делают все возможное, чтобы скрыть гнезда.|Голуби придирчивы и только строят гнезда высоко в определенных типах деревьев.|0,0||
290|Что такое общее название для голубя, которую мы видим на улицах города и на наших дворах?|Траурного голубя|рок голубь|общий голубь|1.0
291|Слово динозавр - это сочетание двух греческих слов. Одно слово означает ящерица. Что означает другое слово?|Устранение|травоядные|божественные|0,0
292|Назовите Теропод Динозавр с длинной головой, плоской мордой и большим соношеным когтем на втором носке каждой ноги.|Стегозавр|Велоцираптор|Тиранозавр|1.0
293|В 1980-х годах, которые высказали персонаж Дино, домашнего динозавра в анимированной серии Flintstones?|Фрэнк Уэлкер|Мел Бланки|Жан Вандер Пил|1.0
294|В парке Книги Юрский парк, вымышленный остров Isla Nublar, где живут розыми видами динозавра, расположен в какой части мира?|Возле Коста-Рики|возле Японии|возле Чили|0,0
295|Серия BBC ходьба с динозаврами, которая выиграла три награды Эмми, состояла из того, сколько запчастей?|12|3|6|2.0
296|Дизайн японского вымышленного монстра Годзиллы основывался на характеристиках какого динозавра?|Стегозавр|Все эти|Тиранозавр|1.0
297|В мультфильме диносайдеров Bronto Thunder - какой динозавр?|Развитый апатозавр|развитый стегозавр|эволюционная археоптерикс|0.0
298|Что такое Динатопия, вымышленное место, где люди и динозавры живут вместе в книгах Джеймса Гурни и Hallmarks Mini Series?|Планета|скрытый остров|гора|1.0
299|Что за небесное тело - 9949 Бронтозавр?|Астероид|планета|звезда|0.0
300|В научной классификации животных, что означает термин динозаврия?|Семья|SUPERORDER|Род|1.0
301|Окакалышки велоцираптора, атакующих проток, доказывая, что динозавры напали и съели друг друга, были обнаружены, в какой части мира в 1971 году?|Долина смерти|пустыня Гоби|Балканы|1.0
302|Какой из этих динозавров был плотоядным?|Eooraptor|Diplodocus|Maiasaura|0.0
303|Какой из этих динозавров был травоядным?|Velociraptor|Протокаратопс|Тиранозавр|1.0
304|Первые доказательства падения поведения среди динозавров были обнаружены в 1878 году, в которой часть мира?|США|Аргентина|Бельгия|2.0
305|Какая из этих утверждений о сейсмосавре, ящерица на землю, неверна?|Это может достичь длиной 33 метра.|Он был признан видом в 1991 году.|Его задние ноги были короче, чем его передние ноги.|2.0
306|Как долго длится средняя продолжительность жизни слона?|70 лет|15 лет|110 лет|0.0
307|До какого возраста не может создавать женский слон (называемая коровой), производит потомство?|50 лет|15 лет|75 лет|0.0
308|Слоны выражают радость, вращающиеся кружками, трубными, ревущими, кричами, мочеиспускаем и хлопают их ушами. В каком из этих случаев слон не действует таким образом?|при встрече с другом (слона или человеком)|при игровых играх|после смерти пожилых слонов|2.0
309|Сколько отдельных мышц в стволе слонов?|2000|10000|40 000|2.0
310|Слоны переплетены их стволы с стволами других слонов, как рукопожатие. Что слон не делает с его багажником?|ласкает детский слон|напиток через него, как через солому|поместите еду в рот|1.0
311|Слоны тратят 16 часов в день, собирая и едят еду, в среднем 400 фунтов еды в день. Но их тела не перевариваются 100% еды. Сколько еды заправляет слонов?|40%|80%|60%|0,0
312|Сообщалось, что в период 1992-2008 гг., Рингс Брос и Барнум Бейли Цирк имел по крайней мере этому многие смерти слона, вызванные злоупотреблением и пренебрежением.|24|0|1|0.0
313|Через какое часть тела может слон не слышать?|ноги|кожа|ствол|1.0
314|В исламской истории, 570 А.Д. был годом слона. Что из этого произошло в этом году?|Коран был написан в книге|Мухаммед получил свое первое откровение|Мухаммед родился|2.0
315|Этот риф, который простирается вдоль восточного побережья Австралии, является домом для бесчисленных животных и считается одним из чудес природного мира.|Большой барьерный риф|Дивизионный риф|Австралия риф|0.0
316|Женщина этого вида иногда называют синим летчиком, из-за ее голубоватой окраски.|Белая цапля|EMU|Красный кенгуру|2.0
317|Какой из них не тип вомбата?|Общие|южная волосатая нос|засушливая центральная|2.0
318|Диета Echidnas состоит в основном из этой группы животных.|Млекопитающие|насекомые|Рыба|1.0
319|Где кукабурра, обычная австралийская птица, получает свое имя?|Еда ест|имя аборигенов для него|его внешний вид|1.0
320|Какой из этих животных не родом в Австралии?|Ящерица с жареной шеей|кенгуру|Динго|2.0
321|Сколько стоит трицератопс, чтобы взвесить?|От 13 000 до 26 000 фунтов|от 1000 до 9000 фунтов|от 50 000 до 75 000 фунтов|0,0
322|В каком году были впервые обнаружены трицератопы?|1894|1888|1885|1.0
323|Трицератопс - официальный государственный динозавр какого государства?|Юта|Орегон|Вайоминг|2.0
324|Считается, что трицератопс смогла бежать как быстро?|40 миль в час|15 миль в час|20 миль в час|1.0
325|Что означает слово Mantis ?|Savage насекомое|убийцей или охотник|пророк или фортунетеллер|2.0
326|В чем смысл имени Stegosaurus?|Бак ящерица|крыши ящерицы|Спайк ящерица|1.0
327|Сколько костных тарелок произошла стегозавр на спине?|11|17|9|1.0
328|Какова была длина среднего стегозавра?|20-28 футов (6-8,5 м)|30-40 футов (9,2-12,2 м)|26-30 футов (8-9,2 м)|2.0
329|Какой был средний вес стегозавра?|8 000 фунтов. (3,6 тонны)|6000 фунтов. (2,7 тонны)|6 800 фунтов. (3 тонны)|2.0
330|Какова была средняя высота стегозавра?|9 футов (2,7 м)|8 футов (2,4 м)|10 футов (3 м)|0,0
331|Сколько подвидов тигра осталось в наши дни?|8|6|2|1.0
332|Сколько детей обычно в мусоре тигров?|1-6 детеныши|3-4 детеныши|1-2 детеныши|1.0
333|Как долго длится период беременности тигра?|16 недель|22 недели|10 недель|0.0
334|Какая страна происходит от Clydesdale Horse?|Шотландия|Ирландия|Испания|0.0
335|Какой знаменитый пивной бренд использует лошадь Clydesdale как ее талисман?|Anheuser-busch|fosters|нагорье|0.0
336|В каком году было официально основано филярное общество Clydesdale Horse?|1925|1901|1887|2.0
337|Какой класс лошадиной породы принадлежит Clydesdale Horse?|Черновка лошади|лошадь каретки|сельскохозяйственная лошадь|0.0
338|В каком году была лошадь Clydesdale, представленная в Северной Америке?|1636|1715|1525|1.0
339|Эта собака породы, которая возникла в Монголии и Китае, имеет очень толстый пушистый мех и сине-черный язык.|Чау Чау|Йонанги|Кай Кен|0.0
340|Представители этой породы собаки невелики, имеют длинный белый шелковийный мех и также известны как римские женские собаки.|Мальтийский|Норрботтенспец|Phalene|0.0
341|Какое общее название собака породы новой Гвинеи высокогорья собака?|Певица|Prowler|Breestler|0.0
342|В каком европейской стране возникают грубая собака Collie?|Шотландия|Германия|Ирландия|0.0
343|Какая собака имеет удлиненное тело, очень короткие ноги, короткое блестящее пальто и длинная морда?|Доггу Гватемальтеко|такса|English Foxhound|1.0
344|В какую европейскую страну возникла далматинская собака породы?|Хорватия|Нидерланды|Италия|0.0
345|Эта собака породы, развивалась в Англии, имеет головку в форме яйца, маленькие глаза и очень сильное мышечное тело с гладким коротким мехом и короткими ногами.|Бычий терьер|Кэрн-терьер|Английская овчарка|0.0
346|Что такое буквальный смысл словного карнанора, которое имеет латинское происхождение?|Пьющий кровь|убийца животных|едер мяса|2.0
347|Какое из этих утверждений верно в отношении плотоядных организмов в целом?|Они питаются животными позвоночными.|Все эти|они кормят сквозь мусор.|1.0
348|В чем смысл термин Apex Predator, который связан с плотоядными животными?|Хищник, который не имеет сама хищников.|Очень опытный хищник, который высоко специализируется на убийстве животных.|Это термин для человека.|0,0
349|Что такое диета Великой Голубой цапли, найдена в Северной и Центральной Америке, состоит из?|Все эти|птицы|рептилии|0.0
350|Какое из этих утверждений верно в отношении диеты койотов?|Все эти|60% их диеты состоит из млекопитающих.|Они едят насекомых.|2.0
351|Какое из этих утверждений верно в отношении потребления растительного материала плотоядными?|Все эти|Карноворы потребляют фекалии травоячков, чтобы получить питательные вещества.|Карноворы потребляют некоторые растительные материалы, чтобы получить минералы, витамины и волокна.|0,0
352|Что значит термин на факультативном карнаноре?|Это синоним для мусорщиков.|Животное, которое имеет все особенности карновированных, но это травоядность.|Крыще, который также потребляет растение.|2.0
353|Сколько видов черепахи есть в Северной Америке?|4|1|9|0.0
354|Какие цветные глаза делают мужские коробку черепахи обычно?|синий|зеленый|красный|2.0
355|В каком городе известен уютной столицы White Squirrel The World, поскольку он является домом для самой большой колонии белок-альбиносов?|Marionville, Миссури|Олни, Иллинойс|Колумбус, Огайо|1.0
356|Белым, как правило, питаются на что?|Фрукты|насекомые|листья|2.0
357|Какая из этих белых лисиц населяет полярную зону северного полушария?|Белая лиса|арктическая лиса|все эти|2.0
358|В каком романе одного из главных героев - белый кит, охотящийся от китающего корабля?|Север против Юга|Моби-Дик|Двадцать тысяч лиг под морем|1.0
359|Какой тип насекомых часто называют белым муравей, хотя оно не связано с видами муравья?|Тип маленького паука|термит|голова вход|1.0
360|Белая змея - это сказка, включенная в коллекцию сказок этого автора.|Эндрю Лэнг|Братья Гримм|Оскар Уайльд|1.0
361|В чем смысл образного выражения белого слона?|Что-то идорировано, но это не существует|неординарный человек|Дорогая и бесполезное владение|2.0
362|Представители старого датского указателя породы белые, с маркировкой этого другого цвета на их пальто.|Серый|коричневый|Все эти|1.0
363|В какой стране латинской америки возникла страна чихуахуа порода собаки?|Мексика|Куба|Гватемала|0.0
364|В какой стране появилась американская порода собаки Акита?|Канада|Япония|Китай|1.0
365|Эта собака породы, считающаяся одной из первых пород собак на экскурсиях, имеет очень длинный мех и довольно высокий, с длинными ногами и ушами.|Канадский указатель|Болоньезе|Афганская гончая|2.0
366|В какой северной стране появился сибирская лайка собака?|Норвегия|Финляндия|Россия|2.0
367|Папильон - маленькая собака породы игрушечной группы. Что означает слово Papillon на французском языке?|Бабочка|Вишня|Цветок|0.0
368|Эта собака, которая когда-то использовалась в качестве личной оборонной собаки, полицейской собаки и военной собаки, часто ошибается, считается очень агрессивным.|Полевой спаниель|Доберман Пинчер|Elo|1.0
369|Нутрия родом, на какой континент?|Европа|Южная Америка|Африка|1.0
370|Что из следующего является характерной для нутрии?|Перебытие передних ног|Огромные черные глаза|Большие оранжевые зубы|2.0
371|Что фермеры поднимают нутрию?|Их мех очень ценен. Они огромные зубы могут быть проданы как украшения.|Они могут использовать их масло для шампуней и лосьонов.|0.0|
372|Мясо нутрия наклоняется и низко в чем?|Железо|натрий|холестерин|2.0
373|В какое время года протягивают породу питания?|В зимние месяцы|круглый год|Осень|1.0
374|Что такое общее прозвище для йоркширских терьеров?|Йорки|У них нет никнейма.|Йорка|0.0
375|Что такое приблизительный стандарт веса, что выставочная собака йоркширского терьера не может перейти?|7 фунтов|10 фунтов|нет стандарта|2.0
376|Что такое средняя продолжительность жизни Йоркширских терьеров?|5 - 8 лет|11 - 13 лет|15 - 18 лет|1.0
377|В каком месте был проведен йоркширский терьер в АКЦ зарегистрированной популярностью породы в США в 2008 году?|1-й|50-й|2-й|2.0
378|Ядовитых и ядовитых - это два разных условиях. Что касается термина ядовитого?|Животные, которые вводят яд|Животные, которые смерти, когда едят|растения и животные, которые выделяют яд и вредны при касании|0,0
379|Какая из этих утверждений верно в отношении медленного Лор, примата, которое является ядовитой, так и ядовитой?|Все эти|охватывает его молодых с токсином, чтобы они были съедены.|У него есть ядовитый укус.|0.0
380|Бразильские блуждающие пауки включены в Мировые записи Гиннеса 2007 года в качестве мировых самых ядовитых пауков. Как они вводят свой яд?|Жгучая|кусая|все эти|1.0
381|Какое существо считается самым ядовитым на планете?|Жировохозяйственный скорпион|убийца пчелы|медузы коробки|2.0
382|Название Cobras, которые очень ядовиты, исходит от португальской кобры-де-Капелло. Что это значит?|Змея с капюшоном|ядовитая шляпа|ядовитый нос|0.0
383|Ядовитые млекопитающие существуют, хотя они очень редки. Какая из этих млекопитающих ядовита?|Европейская моль|Кубинский соленодон|Все эти|2.0
384|Северный короткохвостый строптивый - небольшое ядовитое млекопитающее, которое заполняет эту область.|Европа|Центральная Америка и северные части Южной Америки|Северная Америка|2.0
385|Что за животное - ядовитый монстр Gila, который имеет коренное на юго-западе Соединенных Штатов и Северной Мексики?|Ящерица|беспозвоночный|лягушка|0.0
386|К какому фимуму принадлежит медузы?|Arthropoda|Chordata|Cnidaria|2.0
387|Что называется группа медузы?|stard|Bloom|Школа|1.0
388|Как организм от оксигенации медузы?|Осмос|Активный транспорт|Диффузия|2.0
389|Что такое смертельная медуза в мире?|Коробка медузы|львы гривы медузы|луна медузы|0.0
390|Сколько различных видов волок, включая суб-породы во всем мире?|Более 100|44|9|2.0
391|Как долго длится женский период беременности в волках?|90 дней|25 дней|63 дня|2.0
392|Какое наибольшее количество щенок волка, когда-либо записанных в мусор?|4 щенка|5 щенков|14 щенков|2.0
393|В каком возрасте волк обычно оставляет свой пакет?|5-6 лет|2-3 года|1-2 года|1.0
394|Какая горилла самая крупнейшая примата на планете?|Горная горилла|западная низменная горилла|восточная низменная горилла|2.0
395|Какова самая большая рыба существовала?|Manta Ray|китовая акула|Ocean Sunfish|1.0
396|Назовите самый большой моллюск и самый большой беспозвоночный в мире?|Гигантская африканская улитка|северной тихоокеанский гигантский осьминог|колоссальный кальмар|2.0
397|Какой самый большой живой наземный организм на планете?|Африканский лесной слон|азиатский слон|африканский куст слона|2.0
398|Примерно сколько весит типичный женский вампир летучей мыши?|8 унций|1,5 унции|5 унций|1.0
399|Какова средняя продолжительность жизни летучей мыши вампира?|20-25 лет|5-10 лет|40-50 лет|2.0
400|Где находятся летучие мыши вампиры в основном?|Австралия|Мексика, Центральная Америка и Южная Америка|Азия|1.0
401|Вампирская летучая мышь умрет, если она не найдет кровь для того, сколько ночи подряд?|2|5|1|0.0
402|Какой актер направлен и снимался в популярных танцах фильма 1990 года с волками?|Шон Коннери|Кевин Костнер|Мел Гибсон|1.0
403|Каковы самые крупные вики волка на планете, а также самый большой дикий представитель семьи Canidae?|Серый волк|Полярный волк|черный волк|0.0
404|Какое животное считается главным врагом волка в дикой природе, кроме людей?|Медведь|другие волки|орел|1.0
405|Какой тип волков белый клык из Джека Лондонс Популярный роман Белый клык?|Серый волк|Белый волк|Wolf Hybrid|2.0
406|К какому континенту является уникальным бешенным волком, эндемичным?|Азия|Африка|Южная Америка|2.0
407|Какие животные имеют самые уникальные виды эндемии в Австралии?|Амфибии|млекопитающие|насекомые|0,0
408|Какое из этих утверждений о австралийской фауне верно?|Австралия - единственный континент, который имеет более ядовитые, чем нендовитные виды змеи|два из пяти известных видов монотрем живут в Австралии|все эти|2.0
409|Какое животное является крупнейшим макроподобным и одним из геральдических животных Австралии?|Pademelon|красный кенгуру|серый кенгуру|1.0
410|Какое животное является пятнистый Wobbegong?|Рыба|рептилия|амфибии|0.0
411|Что такое общее название канавки, плотоядные марифы родом из Австралии и Папуа-Новой Гвинеи?|Родная кошка|родная крыса|родная лиса|0.0
412|Какая из этих областей - черная саламандра в эндемии?|Гавайи|Соединенные Штаты|Австралия|1.0
413|Какое из этих утверждений верно в отношении паука западной черной вдовы?|Самка всегда ест мужчину после спаривания.|Это чрезвычайно ядовито.|Это уроженец для Мадагаскара.|1.0
414|Какой тип еды делает меньший попугай VASA, также известный как черный попугай, питание?|Фрукты|насекомые|Все эти|0.0
415|Как черная змея Мамба получила свое имя?|Из-за его цвета|потому что его яйца черные|потому что рот черный|2.0
416|Какое из этих названий относится к азиатскому черному медведу, близкий родственник американского черного медведя?|Гималайский черный медведь|Все эти|Тибетский черный медведь|1.0
417|Какое из этих утверждений верно в отношении черного сада муравей?|Каждая колония имеет только одну королеву.|Найден в Европе.|Все эти|2.0
418|Какое из этих утверждений верно в отношении черной иберийской свиньи?|Это коренное для Средиземного моря.|Это грызун. Все эти|0.0|
419|Какое животное является единственным строго-морским травоядным млекопитающим в мире?|Дугонг|Все эти|Морская свинья|1.0
420|Это животное считается морским млекопитающим, потому что оно живет на морском леде больше всего года.|Полярный медведь|Все эти|Walrus|0.0
421|Уплотнение с капюшоном - это морское млекопитающее, которое населяет этот географический район.|Север и северо-восточный тихоокеанский|все эти|центральная и западная северная атлантика|2.0
422|Это животное - самый тяжелый член его семьи, а также один из самых маленьких морских млекопитающих.|Морская свинья|моря выдра|Полярная мышь|1.0
423|Какая из этих морских млекопитающих соответствует описанию: очень большое тело, имеет тускы и усы?|Щеловие уплотнения|Уплотнение слона|Walrus|2.0
424|Горбатый кит, один из крупнейших морских млекопитающих, кормит в этом сезоне.|Весна и зима|зима|лето|2.0
425|Это необычное морское млекопитающее часто считается китом, но это на самом деле дельфин.|Все эти|убийственный кит|черная рыба|0.0
426|Дельфины считаются одними из самых умных животных на планете. Как они классифицируются в соответствии с их рацион?|Они специализированные пожиратели. Они плотоворы.|Они травоводятся.|1.0|
427|Это морское млекопитающее известно как пилотный кит, но на самом деле это не кит. Какой это животное?|Walrus|Печать|дельфин|2.0
428|Какие из этих животных являются одними из многих морских млекопитающих, которые используют песни для целей связи?|Все эти|синий кит|Горбатый кит|0.0
429|Переведен на английском языке, что означает название шиншиллы?|Маленький чилий|маленькая чинча|маленький чили|1.0
430|Для какого вида шиншиллы принадлежат большинству внутренних шиншиллов?|Ни один из них|шиншилла Ланигера|гигантская шиншилла|1.0
431|В природе шиншиллы можно найти только в одном цвете. Какой из них это?|Серый|черный|коричневый|0.0
432|Что из следующего следует избегать в диете Pet Chinchillas?|Свежие овощи|сено|вода|0.0
433|Какая из этих физиологических особенностей не хватает шиншиллы?Способность потеть|способность чихать|способность прыгать|0.0|
434|Какая группа породы принадлежит китайской хохлатой собаке?|Спортивные|гончая|игрушка|2.0
435|Какое из следующих поведений не типично для китайской хохлатой собаки?|Брюки, чтобы держать классную|кора|поднять ногу для мочиться|0.0
436|Происхождение китайской хохлатой собаки неизвестно, но по некоторым источникам, возможно, пришло от какого из этих мест?|Канада и США|Таиланд и Египет|Мексика и Африка|2.0
437|Какой термин обычно используется для обозначения группы лисиц?|Земля|Отряд|Все эти|2.0
438|Как бы большинство лис обычно классифицируются в соответствии с их рационом?|Всеиворцы|Специализированные едоки|Насенцев|0.0
439|В каких видах Fox считается самым маленьким на планете?|Короткохвостая лиса|Fennec Fox|Остров Фокс|1.0
440|Какую известную функцию обладают Fennec Fox, что позволяет легко узнавать?|У него нет хвоста|голубоватый мех|очень большие уши|2.0
441|Какая из этих имен принадлежит видам лисы, которые являются второй маленькой лисической лисической видом в мире, немного меньше, чем домашняя кошка?|С коротким хвостом Fox|Все эти|Coast Fox|1.0
442|Какая из этих историй и книг у персонажа лиса вовлечено в сюжетную линию?|Pippi longstocking|Приключения Пиноккио|Маленькая девочка|1.0
443|Какой выдающийся музыкант выпустил свой альбом Fox в 1981 году?|Том Джонс|Элтон Джон|Барри Уайт|1.0
444|Бурундуки - это маленькие белки, такие как грызуны, принадлежащие к роду Тамиас. Что означает греческое слово Тамии?|Storer|Nibbler|Белка|0.0
445|Какой грызун, тесно связанный с шиншиллой и морской свинкой, также известен как хвостовая кисть крыса и родом в Чили?|Гербил|Degu|Белохвостая антилопная белка|1.0
446|Capybara - самый большой грызун в мире. В чем смысл его имени, полученный от слова языка гуарани?|Мастер травы|Река Хранитель|Кролик Свинья|0.0
447|Acouchis, мелкие суточные грызуны нашли вдоль реки в тропическом лесе Amazon, обычно питаются этим типом пищи.|Насекомые|трава|фрукты|2.0
448|Гвинеяные свинки очень умны, очень социальные животные, которые используют специальную вокализацию для общения. Что делает их свист или зуммащий звук?|Волнение|опасность или боль|дискомфорт|0.0
